Question,Answer
What is the example of algorithm that enforce arc consistency?,"The most popular algorithm for enforcing arc consistency is called AC-3. 
"
What can path consistency do?,"Path consistency tightens the binary constraints by using implicit constraints that are inferred by looking at triples of variables.
"
What is minimum-remaining-values?,"Minimum-remaining-value is the idea of choosing the variable with the fewest “legal” values.
"
What can degree heuristic do?,"Degree heuristic attempts to reduce the branching factor on future choices by selecting the variable that is involved in the largest number of constraints on other unassigned variables.
"
What can the least-constraining-value heuristic do?,"The least-constraining-value heuristic prefers the value that rules out the fewest choices for the neighboring variables in the constraint graph.
"
What is the policy of backtracking-search algorithm?,"The backtracking-search algorithm backs up to the preceding variable and try a different value for it. 
"
What is a backjumping method?,"A backjumping method backtracks to the most recent assignment in the conflict set.
"
What happens to the algorithm when no legal value is found?,"""When no legal value is found"
What is constraint learning?,"Constraint learning is the idea of finding a minimum set of variables from the conflict set that causes the problem.
"
How can independence be ascertained?,"Independence can be ascertained simply by finding connected components of the constraint graph. 
"
What is a topological sort?,"""A topological sort is the ordering of picking any variable to be the root of the tree first"
What is a tree decomposition?,"A tree decomposition is a transformation of the original graph into a tree where each node in the tree consists of a set of variable.
"
What is the example of the requirements of a tree decomp7osition?,"One of the examples is every variable in the original problem appears in at least one of the tree nodes.
"
What is an axiom?,"An axiom is the sentencet that is taken as being given without being derived from other sentences.
"
What is an inference?,"An inference is deriving new sentences from old.
"
What requirement should inference obey?,""" Inference must obey the requirement that when one asks a question of the knowledge base"
What is the wumpus world?,"The wumpus world is a cave consisting of rooms connected by passageways.
"
What is semantics?,"""Semantics are the meaning of sentences"
What is grounding?,"Grounding is the connection between logical reasoning processes and the real environment in which the agent exists.
"
What is theorem prooving?,"Theorem prooving is applying rules of inference directly to the sentences in our knowledge base to construct a proof of the desired sentence without consulting models. 
"
When is a sentence valid?,"A sentence is valid if it is true in all models. 
"
When is a sentence satisfiable?,"""A sentence is satisfiable if it is true in"
What is monotonicity?,"A monotonicity says that the set of entailed sentences can only increase as information is added to the knowledge base.
"
What do the algorithm do in early termination?,"""The algorithm detects whether the sentence must be true or false"
What is a pure symbol?,"A pure symbol is a symbol that always appears with the ame “sign” in all clauses. 
"
What is a unit clause?,"A unit clause was a clause with just one literal. 
"
What is unit propagation?,"""Unit propagation resembles the process of forward chaining with definite clauses"
What are atemporal variables?,"Atemporal variables are symbols associated with permanent aspects of the world that do not need a time superscript.
"
What is the representational frame problem?,"The representational frame problem is the specific manifestation of the frame problem.
"
How is knowledge contained?,"Knowledge is contained in agents in the form of sentences in a knowledge representation language that are stored in a knowledge base.
"
Why do intelligent agents need knowledge?,"Intelligent agents need knowledge about the world in order to reach good decisions.
"
How is a representation language defined?,"""A representation language is defined by its syntax"
Why is the relationship of entailment between sentences is crucial?,"The relationship of entailment between sentences is crucial to our understanding ofreasoning.
"
What is sound inference?,"Sound inference algorithms derive only sentences that are entailed.
"
What are complete algorithms?," Complete algorithms derive all sentences that are entailed.
"
What is propositional logic?,"Propositional logic is a simple language consisting of proposition symbols and logical connectives.
"
What can propositional logic do?,"""Propositional logic can handle propositions that are known to be true"
What are inference rules?,"Inference rules are patterns of sound inference that can be used to find proofs. 
"
What is the resolution rule?,"The resolution rule yields a complete inference algorithm for knowledge bases that are expressed in conjunctive normal form.
"
What are the natural reasoning algorithms for knowledge bases in Horn form?," Forward chaining and backward chaining are very natural reasoning algorithms for knowledge bases in Horn form.
"
What is a logical state estimation?,"Logical state estimation involves maintaining a logical sentence that describes the set of possible states consistent with the observation history. 
"
What do each update step of logical state estimation require?,"""Each update step requires inference using the transition model of the environment"
How decisions within a logical agent can be made by SAT solving?,"It works by finding possible models specifying future action sequences that reach the goal.  
"
Why does propositional logic do not scale to environments of unbounded size?,"""This is because e it lacks the expressive power to deal concisely with time"
How should knowledge representation languages be?,"""Knowledge representation languages should be declarative"
How does logic differs?,"Logics differ in their ontological commitments and epistemological commitments.
"
What is the difference in propositional logic and first-order logic?,"""While propositional logic commits only to the existence of facts"
What is the similarity of propositional logic and first-order logic?,"Both propositional logic and first-order logic share a difficulty in representing vague propositions. 
"
How does the difficulty in representing vague  propositions affect both  propositional logic and first-order logic?,"""The difficulty limits their applicability in domains that require personal judgments"
What does the syntax of first-order logic does?,"""It adds terms to represent objects"
"""What does a possible world", or model
When is an atomic sentence true?,"An atomic sentence is true only when the relation named by the predicate holds between the objects named by the terms. 
"
What can extended interpretations do?,"""Extended interpretations"
What is the process of developing a knowledge base in first-order logic?,"""Developing a knowledge base in first-order logic requires a careful process of analyzing the domain"
What is AI?,"Artificial Intelligence (AI) is the part of computer science concerned with designing intelligent computer systems.
"
What do the branches of AI have?,"""NLP"
What is the Turing Test?,"Alan Turing devised a test for intelligence called the Imitation Game in.
"
Under what conditions can intelligence be proved to have passed the test?,"""If"
What capabilities would the AI need?,"""Natural language processing"
What are the cental goals of AI research?,"""Reasoning"
What is reasoning?,"""The reasoning is the mental process of deriving logical conclusion and making predictions from available knowledge"
What types of reasoning are there?,"""Deductive"
What is Deductive reasoning?,"Deductive reasoning is deducing new information from logically related known information.
"
What is Inductive reasoning?,"Inductive reasoning is a form of reasoning to arrive at a conclusion using limited sets of facts by the process of generalization.
"
What is Abductive reasoning?,"Abductive reasoning is a form of logical reasoning which starts with single or multiple observations then seeks to find the most likely explanation or conclusion for the observation.
"
What is Common Sense?,"""Common sense reasoning is an informal form of reasoning"
How Intelligence applications should behave?,"""Intelligence applications are expected to respond to stimulation consistent with traditional responses from humans"
What three ways of thinking do we need to learn in artificial intelligence?,"""Introspection"
What is Itrospection?,"Trying to catch our own thoughts as they go by.
"
What is psychological experiments?,"Observing a person in action.
"
What is brain imaging?,"Observing the brain in action.
"
What is rational behavior?,"Doing the right thing!
"
What is the right thing?,"""It is expected to maximize goal achievement"
What are the advantages of studying AI as rational agent?,"""It is more general than using logic only"
What are the main roles that AI plays?,"Study the intelligent part concerned with humans. Represent those actions using computers.
"
What is True AI?,"""True A.I. can improve on past iterations"
What do the currently popular approaches have?,"""Currently popular approaches include statistical methods"
"""What is the relationship among AI", ML
What are the advantages of AI?,"""Reduces in human error"
What are the disadvantages of AI?,"""Cost overruns"
What is knowledge?,"Knowledge is a collection of information about a domain that can be used to solve problems within a domain.
"
What are the organization of konwledge?,"""Wisdom"
What is declarative knowledge?,"""Declarative knowledge is to know about something. It includes concepts"
What is procedural Knowledge?,"Procedural knowledge is a type of knowledge which is responsible for knowing how to do something.
"
What is heuristic konwledge?,"""Heuristic knowledge is rules of thumb based on previous experiences"
What is structural knowledge?,"It describes relationships between various concepts and the relationship that exists between concepts or objects.
"
What is Meta-knowledge?,"It is not specific to any single domain but aims to describe the structure of the data present in the knowledge systems.
"
What is logical representation?,"Logical representation is a language that is free from ambiguity issue.
"
What categories can logical representation be divided into?,"Propositional and predicate.
"
What is proposition?,"It is a sentence that is either true or false.
"
What is semantic network?,"A semantic network or net -graph structure is used to represent knowledge in patterns of interconnected nodes and arcs.
"
What do the production rules consist of?,"IF(condition) and THEN(action).
"
What are the advantages of production rule?,"The production rules are expressed in natural language. The production rules are expressed in natural language.
"
What are the disadvantages of production rule?,"""Production rule system does not exhibit any learning capabilities"
What is Knowledge-based System?,"A knowledge-based system (KBS) is a form of artificial intelligence (AI) that aims to capture the knowledge of human experts to support decision-making.
"
What is medical expert system?,"An expert system is a computer program that represents and reasons with knowledge of some specialist subject with a view to solving problems or giving advice.
"
What do the typical tasks for expert system have?,"""The interpretation of data"
What do the complex decisions invovle?,"Complex decisions involve intricate combination of factual and heuristic knowledge.
"
What do the structure of expert system reflect?,"The structure of expert systems reflect the knowledge engineers understanding of the methods of representing knowledge and of how to perform intelligent decision making tasks with the support of a computer based system.
"
What is backward chaining?,"Backward chaining starts from the goal and works backward through inference rules to find the required facts that support the goal.
"
What is the research strategy of backward chaining reasoning?,"Backward chaining reasoning applies a depth-first search strategy.
"
What does the backward chaining apply to?,"""It is suitable for diagnostic"
What is forward chaining?,"Forward chaining starts from known facts and applies inference rule to extract more data unit it reaches to the goal.
"
What is the research strategy of forward chaining reasoning?,"Forward chaining reasoning applies a breadth-first search strategy.
"
What does the forward chaining apply to?,"""It is suitable for the planning"
What is knowledge engineering?,"The process of building an expert system is called knowledge engineering and is done by a knowledge engineer.
"
What is knowledge engineer?,"The knowledge engineer is a human with a background in computer science and AI and he knows how to build expert systems.
"
What is knowledge engineering?,"Knowledge engineering is the acquisition of knowledge from a human expert or any other source.
"
What is Five-in-row system?,"Five-in-row system is normally is implemented as a board game.
"
What is search?,"Search is a about exploring alternatives.
"
What are the application of search?,"""Route finding"
What is category?,"""Incremental formulation"
What is incremental formulation?,"""This problem involves operators that augment the state description"
What is complete-state formulation?,"States are independent for each other.
"
What is toy problrm?,"A toy problem is intended to illustrate or exercise various problem-solving methods.
"
What is real-word problem?,"A real-world problem is one whose solutions people actually care about.
"
What’re the conditions for searching?,"""Observable"
What is observable?,"You always know what’s going on currently.
"
What is discrete?,"""Given any state"
What is known?,"The agent knows which states are reached by performing the corresponding action.
"
What is deterministic?,"Each action has exactly one outcome.
"
What are goodness of a search strategy?,"""Completeness"
How to formulate searching?,"""States"
What is states?,"The basic unit for searching.
"
What is initial state?,"The state that the agent starts in.
"
What is action?,"The operations that you can perform for the current state.
"
What is transition model?,"The outcome of actions.
"
What is goal test?,"Which determines whether a state is a goal state.
"
What is path cost?,"Assign a numeric cost to each path.
"
How to solve searching problems?,"""A solution is an action sequence"
What dose a graph consist of?,"Nodes and arcs.
"
What dose the problem space consist of?,"""A state space"
What’s uninformed Searching?,"While searching you have no clue whether one non-goal state is better than any other.
"
What is breadth-first search?,"Expand shallowest unexpanded node.
"
What is fringe?,"""Nodes waiting in a queue to be explored"
Does breadth-first search always find a solution if one exists?,"Yes.
"
Does breadth-first search always find the best (least-cost) solution?,"""Yes"
How long breadth-first search will take?,"1+b+b^2+b^3+… +b^d (nodes until the solution)
"
What is depth-first search?,"Expand deepest unexpanded node.
"
Does depth-first search always find a solution if one exists?,"No: fails in infinite-depth spaces.
"
How long depth-first search will take?,"O(b^m) with m=maximum depth
"
Does depth-first search always find the best (least-cost) solution?,"No (It may find a non-optimal goal first).
"
What is iterative deepening search?,"Run multiple DFS searches with increasing depth-limits.
"
Does iterative deepening  search always find a solution if one exists?,"Yes.
"
Does iterative deepening search always find the best (least-cost) solution?,"Only if path cost is a non-decreasing function of depth.
"
How long iterative deepening search will take?,"b + (b+b^2) + .......(b+....b^d)  = O(b^d).
"
What is uniform-cost search?,"Always expand the node on the fringe with minimum cost g(n).
"
Does uniform-cost search always find a solution if one exists?,"Yes.
"
Does uniform-cost search always find the best (least-cost) solution?,"""Yes"
How long uniform-cost search will take?,"of nodes with path cost ≤ cost of optimal solution.
"
How much space does uniform-cost search take to complete the run?,"of nodes with path cost ≤ cost of optimal solution.
"
How much space does iterative deepening search take to complete the run?,"O(bd)
"
How much space does depth-first search take to complete the run?,"O(bm)
"
How much space does breadth-first search take to complete the run?,"""O(b^d) (keeps every node in memory"
"hi","how are you doing? I'm fine. How about yourself?"
"i'm fine. How about yourself?","I'm pretty good. Thanks for asking."
"i'm pretty good. Thanks for asking.","No problem. So how have you been?"
"no problem. So how have you been?","I've been great. What about you?"
"i've been great. What about you?","I've been good. I'm in school right now."
"i've been good. I'm in school right now.","What school do you go to?"
"what school do you go to?","I go to PCC."
"i go to PCC.","Do you like it there?"
"do you like it there?","It's okay. It's a really big campus."
"it's okay. It's a really big campus.","Good luck with school."
"good luck with school.","Thank you very much."
"how's it going?","I'm doing well. How about you?"
"i'm doing well. How about you?","Never better, thanks."
"never better, thanks.","So how have you been lately?"
"so how have you been lately?","I've actually been pretty good. You?"
"i've actually been pretty good. You?","I'm actually in school right now."
"i'm actually in school right now.","Which school do you attend?"
"which school do you attend?","I'm attending PCC right now."
"i'm attending PCC right now.","Are you enjoying it there?"
"are you enjoying it there?","It's not bad. There are a lot of people there."
"it's not bad. There are a lot of people there.","Good luck with that."
"good luck with that.","Thanks."
"how are you doing today?","I'm doing great. What about you?"
"i'm doing great. What about you?","I'm absolutely lovely, thank you."
"i'm absolutely lovely, thank you.","Everything's been good with you?"
"everything's been good with you?","I haven't been better. How about yourself?"
"i haven't been better. How about yourself?","I started school recently."
"i started school recently.","Where are you going to school?"
"where are you going to school?","I'm going to PCC."
"i'm going to PCC.","How do you like it so far?"
"how do you like it so far?","I like it so far. My classes are pretty good right now."
"i like it so far. My classes are pretty good right now.","I wish you luck."
"it's an ugly day today.","I know. I think it may rain."
"i know. I think it may rain.","It's the middle of summer, it shouldn't rain today."
"it's the middle of summer, it shouldn't rain today.","That would be weird."
"that would be weird.","Yeah, especially since it's ninety degrees outside."
"yeah, especially since it's ninety degrees outside.","I know, it would be horrible if it rained and it was hot outside."
"i know, it would be horrible if it rained and it was hot outside.","Yes, it would be."
"yes, it would be.","I really wish it wasn't so hot every day."
"i really wish it wasn't so hot every day.","Me too. I can't wait until winter."
"me too. I can't wait until winter.","I like winter too, but sometimes it gets too cold."
"i like winter too, but sometimes it gets too cold.","I'd rather be cold than hot."
"i'd rather be cold than hot.","Me too."
"it doesn't look very nice outside today.","You're right. I think it's going to rain later."
"you're right. I think it's going to rain later.","In the middle of summer, it shouldn't be raining."
"in the middle of summer, it shouldn't be raining.","That wouldn't seem right."
"that wouldn't seem right.","Considering that it's over ninety degrees outside, that would be weird."
"considering that it's over ninety degrees outside, that would be weird.","Exactly, it wouldn't be nice if it started raining. It's too hot."
"exactly, it wouldn't be nice if it started raining. It's too hot.","I know, you're absolutely right."
"i know, you're absolutely right.","I wish it would cool off one day."
"i wish it would cool off one day.","That's how I feel, I want winter to come soon."
"that's how I feel, I want winter to come soon.","I enjoy the winter, but it gets really cold sometimes."
"i enjoy the winter, but it gets really cold sometimes.","I know what you mean, but I'd rather be cold than hot."
"i know what you mean, but I'd rather be cold than hot.","That's exactly how I feel."
"i wish it was a nicer day today.","That is true. I hope it doesn't rain."
"that is true. I hope it doesn't rain.","It wouldn't rain in the middle of summer."
"it wouldn't rain in the middle of summer.","It wouldn't seem right if it started raining right now."
"it wouldn't seem right if it started raining right now.","It would be weird if it started raining in ninety degree weather."
"it would be weird if it started raining in ninety degree weather.","Any rain right now would be pointless."
"any rain right now would be pointless.","That's right, it really would be."
"that's right, it really would be.","I want it to cool down some."
"i want it to cool down some.","I know what you mean, I can't wait until it's winter."
"i know what you mean, I can't wait until it's winter.","Winter is great. I wish it didn't get so cold sometimes though."
"winter is great. I wish it didn't get so cold sometimes though.","I would rather deal with the winter than the summer."
"it's such a nice day.","Yes, it is."
"yes, it is.","It looks like it may rain soon."
"it looks like it may rain soon.","Yes, and I hope that it does."
"yes, and I hope that it does.","Why is that?"
"why is that?","I really love how rain clears the air."
"i really love how rain clears the air.","Me too. It always smells so fresh after it rains."
"me too. It always smells so fresh after it rains.","Yes, but I love the night air after it rains."
"yes, but I love the night air after it rains.","Really? Why is it?"
"really? Why is it?","Because you can see the stars perfectly."
"because you can see the stars perfectly.","I really hope it rains today."
"i really hope it rains today.","Yeah, me too."
"isn't it a nice day?","It really is."
"it really is.","It seems that it may rain today."
"it seems that it may rain today.","Hopefully it will."
"hopefully it will.","How come?"
"how come?","I like how clear the sky gets after it rains."
"i like how clear the sky gets after it rains.","I feel the same way. It smells so good after it rains."
"i feel the same way. It smells so good after it rains.","I especially love the night air when it rains."
"i especially love the night air when it rains.","Really? Why?"
"really? Why?","The stars look so much closer after it rains."
"the stars look so much closer after it rains.","I really want it to rain today."
"i really want it to rain today.","Yeah, so do I."
"don't you think it's nice out?","Yes, I think so too."
"yes, I think so too.","I think that it's going to rain."
"i think that it's going to rain.","I hope that it does rain."
"i hope that it does rain.","You like the rain?"
"you like the rain?","The sky looks so clean after it rains. I love it."
"the sky looks so clean after it rains. I love it.","I understand. Rain does make it smell cleaner."
"i understand. Rain does make it smell cleaner.","I love most how it is at night after it rains."
"i love most how it is at night after it rains.","How come?"
"how come?","You can see the stars so much more clearly after it rains."
"you can see the stars so much more clearly after it rains.","I would love for it to rain today."
"i really want to go to the beach this weekend.","That sounds like fun. What's the weather going to be like?"
"that sounds like fun. What's the weather going to be like?","I heard that it's going to be warm this weekend."
"i heard that it's going to be warm this weekend.","Is it going to be perfect beach weather?"
"is it going to be perfect beach weather?","I believe so."
"i believe so.","Good. I hope it doesn't cool off this weekend."
"good. I hope it doesn't cool off this weekend.","I know. I really want to go to the beach."
"i know. I really want to go to the beach.","But you know that California weather is really unpredictable."
"but you know that California weather is really unpredictable.","You're right. One minute it's hot, and then the next minute it's cold."
"you're right. One minute it's hot, and then the next minute it's cold.","I really wish the weather would just stay the same."
"i really wish the weather would just stay the same.","I do too. That way we can have our activities planned ahead of time."
"i do too. That way we can have our activities planned ahead of time.","Yeah, that would make things a lot easier."
"i would like to take a trip to the beach this weekend.","A trip to the beach would be fun. How is the weather going to be?"
"a trip to the beach would be fun. How is the weather going to be?","The forecast says that it will be warm on the weekend."
"the forecast says that it will be warm on the weekend.","So do you think it'll be perfect weather for the beach?"
"so do you think it'll be perfect weather for the beach?","It sounds like it will be."
"it sounds like it will be.","I really hope it doesn't get cold."
"i really hope it doesn't get cold.","That would ruin things, I want to go so badly."
"that would ruin things, I want to go so badly.","The weather in California is unpredictable, so you never know."
"the weather in California is unpredictable, so you never know.","That is true. The weather is constantly changing."
"that is true. The weather is constantly changing.","It would be nice if the weather would never change."
"it would be nice if the weather would never change.","That would be great, then we could plan things sooner."
"that would be great, then we could plan things sooner.","True. Predictable weather would make life easier."
"it would be nice to go to the beach sometime this weekend.","What's the weather going to be like? I may want to go too."
"what's the weather going to be like? I may want to go too.","The weather this weekend is supposed to be warm."
"the weather this weekend is supposed to be warm.","Will it be good beach weather?"
"will it be good beach weather?","I think it will be."
"i think it will be.","It wouldn't be good if it got cold this weekend."
"it wouldn't be good if it got cold this weekend.","I want this trip to be perfect, I hope it stays warm."
"i want this trip to be perfect, I hope it stays warm.","This California weather is so uncertain, it's impossible to know what'll happen."
"this California weather is so uncertain, it's impossible to know what'll happen.","I know. Every day the weather seems different."
"i know. Every day the weather seems different.","I would love it if it wasn't always so unpredictable."
"i would love it if it wasn't always so unpredictable.","That would make it easier for us to make plans."
"hello, may I speak to Alice please?","This is she. How's it going?"
"this is she. How's it going?","I've been trying to call you all day."
"i've been trying to call you all day.","Sorry about that. I was cleaning up."
"sorry about that. I was cleaning up.","It's okay."
"it's okay.","So what were you calling me about?"
"so what were you calling me about?","Oh, I just wanted to see if you wanted to hang out tomorrow."
"oh, I just wanted to see if you wanted to hang out tomorrow.","Sure, what did you want to do?"
"sure, what did you want to do?","Maybe we can go see a movie or something."
"maybe we can go see a movie or something.","That sounds like fun. Let's do it."
"that sounds like fun. Let's do it.","I'll see you tomorrow then."
"i'll see you tomorrow then.","See you then. Goodbye."
"hi, how are you. Is Alice there?","Speaking. What's up?"
"speaking. What's up?","Why haven't you answered the phone?"
"why haven't you answered the phone?","My bad, I had chores to do."
"my bad, I had chores to do.","That's all right."
"that's all right.","What was the reason for your call?"
"what was the reason for your call?","I want to do something tomorrow with you."
"i want to do something tomorrow with you.","Sounds good. What did you have in mind?"
"sounds good. What did you have in mind?","I was thinking about seeing a movie."
"i was thinking about seeing a movie.","Okay, let's go see a movie."
"okay, let's go see a movie.","Until then."
"until then.","Talk to you later."
"is Alice available?","You're talking to her."
"you're talking to her.","I've called you a hundred times today."
"i've called you a hundred times today.","I was busy doing something. I apologize."
"i was busy doing something. I apologize.","No problem."
"no problem.","Did you need something?"
"did you need something?","Do you want to do something tomorrow?"
"do you want to do something tomorrow?","Is there somewhere special you wanted to go?"
"is there somewhere special you wanted to go?","How about a movie?"
"how about a movie?","A movie sounds good."
"a movie sounds good.","Call me tomorrow then."
"have you seen the new girl in school?","No, I haven't."
"no, I haven't.","She's really pretty."
"she's really pretty.","Describe her to me."
"describe her to me.","She's not too tall."
"she's not too tall.","Well, how tall is she?"
"well, how tall is she?","She's about five feet even."
"she's about five feet even.","What does she look like, though?"
"what does she look like, though?","She has pretty light brown eyes."
"she has pretty light brown eyes.","I may know which girl you're talking about."
"i may know which girl you're talking about.","So you have seen her around?"
"so you have seen her around?","Yes, I have."
"there's a new girl in school, have you seen her yet?","I haven't seen her yet."
"i haven't seen her yet.","I think that she is very pretty."
"i think that she is very pretty.","Tell me how she looks."
"tell me how she looks.","She's kind of short."
"she's kind of short.","What height is she?"
"what height is she?","She's probably about five feet."
"she's probably about five feet.","That's nice, but tell me what she looks like."
"that's nice, but tell me what she looks like.","The first thing I noticed was her beautiful brown eyes."
"the first thing I noticed was her beautiful brown eyes.","I think I might've bumped into her before."
"i think I might've bumped into her before.","Are you telling me that you've seen her before?"
"are you telling me that you've seen her before?","I believe so."
"have you met the new girl?","No. Have you?"
"no. Have you?","She's one of the prettiest girls at the school."
"she's one of the prettiest girls at the school.","What does she look like?"
"what does she look like?","Well, she's quite short."
"well, she's quite short.","How tall would you say that she is?"
"how tall would you say that she is?","I would say she's only five feet."
"i would say she's only five feet.","What about her facial features?"
"what about her facial features?","She has light brown eyes, absolutely beautiful."
"she has light brown eyes, absolutely beautiful.","I think I know who you're talking about."
"i think I know who you're talking about.","Have you seen her?"
"why weren't you at school yesterday?","I wasn't really feeling well."
"i wasn't really feeling well.","What was wrong with you?"
"what was wrong with you?","My stomach was upset."
"my stomach was upset.","Do you feel better now?"
"do you feel better now?","I don't really feel too well yet."
"i don't really feel too well yet.","Do you want anything to make you feel better?"
"do you want anything to make you feel better?","No, thanks. I already took some medicine."
"no, thanks. I already took some medicine.","I hope you feel better."
"i hope you feel better.","Thank you."
"what reason do you have for missing school?","I was sick."
"i was sick.","How were you sick?"
"how were you sick?","I had a stomachache."
"i had a stomachache.","Did it get any better?"
"did it get any better?","I'm still feeling under the weather."
"i'm still feeling under the weather.","Would you like anything for your stomach?"
"would you like anything for your stomach?","I took something earlier."
"i took something earlier.","Get better."
"get better.","Thanks a lot."
"why didn't you go to school yesterday?","I stayed home because I wasn't feeling well."
"i stayed home because I wasn't feeling well.","What was your problem?"
"what was your problem?","My stomach was bothering me."
"my stomach was bothering me.","Are you feeling any better?"
"are you feeling any better?","I'm still feeling a little sick."
"i'm still feeling a little sick.","I'm going to the store, would you like any Pepto Bismol?"
"i'm going to the store, would you like any Pepto Bismol?","That's okay."
"that's okay.","I hope you feel better."
"did you hear the good news?","No, I haven't."
"no, I haven't.","I got a promotion at my job."
"i got a promotion at my job.","Did you really?"
"did you really?","Seriously, I am so excited."
"seriously, I am so excited.","Well, congratulations."
"well, congratulations.","Thank you."
"thank you.","I'm so happy for you."
"i'm so happy for you.","Really?"
"really?","Yes. You really deserved this."
"yes. You really deserved this.","You think so?"
"you think so?","Yes. Good for you."
"have you heard my good news?","You haven't told me anything yet."
"you haven't told me anything yet.","I got a promotion at work earlier this week."
"i got a promotion at work earlier this week.","Is that right?"
"is that right?","It's the truth. I am really happy."
"it's the truth. I am really happy.","Congratulations on your promotion."
"congratulations on your promotion.","Thank you very much."
"thank you very much.","I am really excited for you."
"i am really excited for you.","Are you really?"
"are you really?","I'm serious. You deserved this promotion."
"i'm serious. You deserved this promotion.","Is that what you really think?"
"is that what you really think?","Yes, I do."
"i haven't told you what happened yet, have I?","I haven't heard anything."
"i haven't heard anything.","My boss offered me a promotion, and I took it."
"my boss offered me a promotion, and I took it.","Are you serious?"
"are you serious?","Yes, I am really excited."
"yes, I am really excited.","That's great. Congratulations."
"that's great. Congratulations.","I appreciate that."
"i appreciate that.","You have no idea how happy I am for you."
"you have no idea how happy I am for you.","For real?"
"you look really nice today.","Thank you. I just got this outfit the other day."
"thank you. I just got this outfit the other day.","Really, where did you get it?"
"really, where did you get it?","I got it from Macy's."
"i got it from Macy's.","It's really nice."
"it's really nice.","Thanks again. You look nice today, too."
"thanks again. You look nice today, too.","Thank you. I just got these shoes today."
"thank you. I just got these shoes today.","Really? What kind of shoes are they?"
"really? What kind of shoes are they?","These are called All Star Chuck Taylors."
"these are called All Star Chuck Taylors.","I really like those. How much did they cost?"
"i really like those. How much did they cost?","They were about forty dollars."
"they were about forty dollars.","I think I'm going to go buy myself a pair."
"i absolutely love what you're wearing today.","You do? I just bought this outfit a couple days ago."
"you do? I just bought this outfit a couple days ago.","Seriously, it looks really nice on you. Where did you buy it from?"
"seriously, it looks really nice on you. Where did you buy it from?","I bought it from the Macy's at the Santa Anita Mall."
"i bought it from the Macy's at the Santa Anita Mall.","I really like that outfit."
"i really like that outfit.","Thanks. I think you look nice today, too."
"thanks. I think you look nice today, too.","Thank you. I just bought these new shoes earlier today."
"thank you. I just bought these new shoes earlier today.","Those are nice. What are they?"
"those are nice. What are they?","These are some Chucks."
"these are some Chucks.","Those are great. How much were they?"
"those are great. How much were they?","I got them for forty."
"i got them for forty.","I think I might go and find me my own pair of Chucks."
"i think that you look very cute today.","Is that right? This is a brand new outfit."
"is that right? This is a brand new outfit.","What store did you get it from?"
"what store did you get it from?","I went to Macy's and picked it out."
"i went to Macy's and picked it out.","I love your outfit right now."
"i love your outfit right now.","Well, I think you look nice today too."
"well, I think you look nice today too.","Thanks. I found these new shoes earlier at the store."
"thanks. I found these new shoes earlier at the store.","I think that those are some really nice shoes. What kind are they?"
"i think that those are some really nice shoes. What kind are they?","These are Chucks."
"these are Chucks.","Your shoes look really nice. How much did you get them for?"
"your shoes look really nice. How much did you get them for?","They only cost me about forty dollars."
"tell me, what do you enjoy doing in your spare time?","I enjoy drawing and painting."
"i enjoy drawing and painting.","You know how to draw and paint?"
"you know how to draw and paint?","Yes, I do."
"yes, I do.","When did you learn how to do that?"
"when did you learn how to do that?","I learned back in high school."
"i learned back in high school.","Oh, so you took an art class?"
"oh, so you took an art class?","Yeah, I loved that class."
"yeah, I loved that class.","I see that you're pretty talented."
"i see that you're pretty talented.","Thank you very much."
"thank you very much.","I wish I had a talent like that."
"i wish I had a talent like that.","I'm sure you have a talent. It's just hidden."
"what kinds of things do you like to do?","I've always liked to draw and paint."
"i've always liked to draw and paint.","I didn't know you knew how to draw and paint."
"i didn't know you knew how to draw and paint.","I do it every once in a while."
"i do it every once in a while.","How long have you known how to do that?"
"how long have you known how to do that?","I first learned how to do it in high school."
"i first learned how to do it in high school.","Did you take some sort of art class or something?"
"did you take some sort of art class or something?","That was my favorite class."
"that was my favorite class.","You have got to be talented."
"you have got to be talented.","Thanks."
"thanks.","If only I was talented."
"if only I was talented.","You have a talent. You just don't know what it is yet."
"are there any hobbies you do?","When I have time, I sometimes draw and paint."
"when I have time, I sometimes draw and paint.","Oh, you actually do that?"
"oh, you actually do that?","Every so often, I do."
"every so often, I do.","Did you always know how to draw and paint?"
"did you always know how to draw and paint?","I was taught in high school how to draw and paint."
"i was taught in high school how to draw and paint.","You had an art class?"
"you had an art class?","Exactly, it was my favorite class."
"exactly, it was my favorite class.","Well, it's good that you're so talented."
"well, it's good that you're so talented.","I appreciate that."
"i appreciate that.","Talent is a great thing, I wish I had one."
"what's your favorite movie?","My favorite movie is Superbad."
"my favorite movie is Superbad.","Oh, why is that?"
"oh, why is that?","It's the funniest movie that I've ever seen."
"it's the funniest movie that I've ever seen.","That's true. It is a very funny movie."
"that's true. It is a very funny movie.","You've seen it before?"
"you've seen it before?","Yes, I saw that movie the first day it came out in theaters."
"yes, I saw that movie the first day it came out in theaters.","Didn't you laugh through the whole movie? I did."
"didn't you laugh through the whole movie? I did.","Me too. That movie brought tears to my eyes."
"me too. That movie brought tears to my eyes.","Mine too."
"mine too.","I have it on DVD at my house if you want to come over and watch it."
"i have it on DVD at my house if you want to come over and watch it.","Sure, let's go."
"which movie is your favorite to watch?","I have to say, my favorite movie is Superbad."
"i have to say, my favorite movie is Superbad.","Is that right? Why?"
